url,Engine Capacity,Registration Year,Mileage,VIN / Chassis No.,Transmission,Model Grade,Drive Type,Dimension,Fuel Type,Exterior Color,*Full VIN/Chassis no. will be shown on Invoice,Reference No.,Price,No. of Doors,Manufacture Year,No. of Seats,Steering,Model Code
https://carfromjapan.com/cheap-used-daihatsu-hijet-truck-2021-for-sale-68a7c82cc49cc5ebcf1a4eae,660 cc(0.66 liters),2021 / Jul,"56,000 km(Approx. 34,804 miles)",S510P0401***,Automatic,-,-,10 m3,Petrol,-,Auction Grade,CFJ1568485,"US$ 6,854",-,-,2,Other,3BD-S510P
https://carfromjapan.com/cheap-used-mercedes-benz-amg-2021-for-sale-6984348ec15b58c118ba33df,4000 cc(4.00 liters),2021 / May,"10,000 km(Approx. 6,215 miles)",W1N4632761X388***,Automatic,G63 Manufaktur pkg,4WD,19.11 m3,Petrol,White,Auction Grade,CFJ2303128,"US$ 123,747",4,-,5,Left,3BA-463276
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a0505694aa46852b18e8141,2000 cc(2.00 liters),2019 / Nov,"14,700 km(Approx. 9,136 miles)",MXAA524002***,Automatic,Ｘ,-,17 m3,Petrol,Other,Auction Grade,CFJ2783652,"US$ 18,148",5,-,5,Right,MXAA52
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69d905a20d2462329b4839c4,2000 cc(2.00 liters),2019 / Nov,"21,900 km(Approx. 13,611 miles)",MXAA542013***,Automatic,-,4WD,14.3 m3,Petrol,Black,Auction Grade,CFJ2631963,"US$ 14,428",5,-,5,Right,6BA-MXAA54
https://carfromjapan.com/cheap-used-toyota-alphard-2025-for-sale-6a06b195c15b58c118022102,2500 cc(2.50 liters),2025 / Mar,"13,000 km(Approx. 8,080 miles)",AGH40-0033***,Automatic,Z,2WD,17.82 m3,Petrol,Pearl,Auction Grade,CFJ2790012,"US$ 37,505",5,-,7,Right,3BA-AGH40W
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-699327ce3a4a6f6b0377e368,2500 cc(2.50 liters),2019 / Dec,"37,300 km(Approx. 23,182 miles)",AXAH544013***,Automatic,-,4WD,14.3 m3,Petrol,Black,Auction Grade,CFJ2355898,"US$ 16,784",5,-,5,Right,6AA-AXAH54
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-69e48aa8c15b58c118725c97,2000 cc(2.00 liters),2019 / Sep,"76,000 km(Approx. 47,234 miles)",TRH200-5041***,Automatic,DX GL package,2WD,21 m3,Petrol,White,Auction Grade,CFJ2677062,"US$ 9,488",5,-,3,Right,CBF-TRH200V
https://carfromjapan.com/cheap-used-daihatsu-hijet-truck-2024-for-sale-692a31d907500f365b23d1b0,660 cc(0.66 liters),2024 / May,"13,000 km(Approx. 8,080 miles)",S510P-0571***,Automatic,スタンダード　農用スペシャル,4WD,8.87 m3,Petrol,Other,Auction Grade,CFJ2019345,"US$ 7,225",2,-,2,Right,S510P
https://carfromjapan.com/cheap-used-toyota-alphard-2025-for-sale-69f58db2c15b58c118bda9d1,2500 cc(2.50 liters),2025 / Jun,50 km(Approx. 31 miles),AGH40-4028***,Automatic,Z,2WD,17.82 m3,Petrol,Black,Auction Grade,CFJ2746510,"US$ 40,614",5,-,7,Right,3BA-AGH40W
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a068a69a329faa74f09d718,2000 cc(2.00 liters),2019 / Nov,"15,000 km(Approx. 9,323 miles)",MXAA52-4002***,Automatic,X,2WD,17 m3,Petrol,Pearl,Auction Grade,CFJ2789155,"US$ 18,148",5,-,5,-,6BA-MXAA52
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-6a02613d29365f80f134633e,2000 cc(2.00 liters),2022 / Nov,"15,900 km(Approx. 9,882 miles)",WBA22BY0507L51***,Automatic,218dｱｸﾃｨﾌﾞﾂｱﾗｰｴｸｽｸﾙｰｼﾌﾞ,2WD,12.6 m3,Diesel,Other,Auction Grade,CFJ2774836,"US$ 15,287",5,-,5,Other,22BY20
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69cef9b378dc8c838d76ac34,2500 cc(2.50 liters),2019 / Dec,"75,400 km(Approx. 46,861 miles)",AXAH544011***,Automatic,ハイブリッドＧ,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2590079,"US$ 18,541",5,-,5,Right,AXAH54
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-698ddde134c546bf1069f1d4,2500 cc(2.50 liters),2019 / Oct,"46,000 km(Approx. 28,589 miles)",AXAH52-2001***,Automatic,X,2WD,17 m3,Hybrid,Black,Auction Grade,CFJ2335818,"US$ 19,326",5,-,5,-,6AA-AXAH52
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-698e5ece34c5468cc37e8b55,2500 cc(2.50 liters),2019 / Oct,"47,000 km(Approx. 29,211 miles)",AXAH522001***,Automatic,HYBRID X,-,17 m3,Hybrid,Other,Auction Grade,CFJ2337805,"US$ 19,326",5,-,-,Right,6AA-AXAH52
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a05eb0e64ce68fa34ffe6ec,2500 cc(2.50 liters),2021 / May,"28,000 km(Approx. 17,402 miles)",AXAH52-4006***,Automatic,ハイブリッドX,-,17 m3,Petrol,Red,Auction Grade,CFJ2786169,"US$ 16,970",5,-,-,-,6AA-AXAH52
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a06784564ce682e752b9447,2000 cc(2.00 liters),2019 / Nov,"57,000 km(Approx. 35,426 miles)",MXAA544010***,Automatic,-,4WD,14.3 m3,Petrol,Black,Auction Grade,CFJ2788991,"US$ 16,104",5,-,-,Right,6BA-MXAA54
https://carfromjapan.com/cheap-used-suzuki-wagon-r-2019-for-sale-68d0b0357fb9f3b679aa3607,660 cc(0.66 liters),2019 / Sep,"31,000 km(Approx. 19,267 miles)",MH35S-136***,Automatic,-,2WD,8.3 m3,Petrol,-,Auction Grade,CFJ1707007,"US$ 3,500",5,-,4,-,MH35S
https://carfromjapan.com/cheap-used-bmw-2-series-2019-for-sale-69b34ab515dc0f0d9ef5db05,1500 cc(1.50 liters),2019 / Sep,"15,800 km(Approx. 9,820 miles)",WBA6S120207E46***,Automatic,２１８ｉアクティブツアラー,-,12.21 m3,Petrol,White,Auction Grade,CFJ2476808,"US$ 9,375",5,-,5,Right,DBA-6S15
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-69b345b815dc0fa681e69c2a,2500 cc(2.50 liters),2025 / Aug,200 km(Approx. 124 miles),SLG007***,Automatic,Ｘ－ブレイクＳ：ＨＥＶ　ＥＸ,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2474545,"US$ 33,846",5,-,5,Right,SLG
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-69328ae7ef0b8748a8cf7c7c,2800 cc(2.80 liters),2019 / Sep,"29,000 km(Approx. 18,024 miles)",GDH206-1028***,Automatic,ウェルキャブCタイプ 4WD,4WD,17.68 m3,Diesel,Silver,Auction Grade,CFJ2056875,"US$ 33,540",4,-,10,-,QDF-GDH206Kカイ
https://carfromjapan.com/cheap-used-toyota-hiace-wagon-2025-for-sale-6886b3b2b3aabd738ae397f4,2700 cc(2.70 liters),2025 / Jul,-,TRH229-0018***,Automatic,"Grand Cabin 4WD, improved model, power slide, panoramic view, digital inner mirror",4WD,23 m3,Petrol,Pearl,Auction Grade,CFJ1478395,"US$ 25,999",4,-,10,Right,3BA-TRH229W
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a08ac42032fc86c0574f3ba,2500 cc(2.50 liters),2021 / Nov,"45,000 km(Approx. 27,968 miles)",AXAP54-0005***,Automatic,2.5 G Z,2WD,14.38 m3,Petrol,Blue,Auction Grade,CFJ2797464,"US$ 23,331",5,-,5,-,6LA-AXAP54
https://carfromjapan.com/cheap-used-subaru-forester-2021-for-sale-69e2c131ba10e79439408f2e,1800 cc(1.80 liters),2021 / Mar,"31,700 km(Approx. 19,702 miles)",SK5005***,Automatic,1.8 ｽﾎﾟｰﾂ 4WD,4WD,14.3 m3,Petrol,Other,Auction Grade,CFJ2672422,"US$ 15,963",5,-,5,Right,4BA-SK5
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-691b9c2ec8883d953eb7e8b6,2800 cc(2.80 liters),2019 / Sep,"28,000 km(Approx. 17,402 miles)",GDH206-1028***,Automatic,ウェルキャブBタイプ 4WD,4WD,17.68 m3,Diesel,Silver,Auction Grade,CFJ1968540,"US$ 34,325",4,-,10,-,QDF-GDH206Kカイ
https://carfromjapan.com/cheap-used-toyota-rav4-2020-for-sale-6a05084c4aa468c6b2988e4c,2500 cc(2.50 liters),2020 / Feb,"44,600 km(Approx. 27,719 miles)",AXAH524003***,Automatic,ハイブリッドＸ,-,17 m3,Hybrid,Other,Auction Grade,CFJ2784250,"US$ 20,739",5,-,5,Right,AXAH52
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69d6e2b8fed37da5e28a50e9,2000 cc(2.00 liters),2019 / Oct,"12,400 km(Approx. 7,707 miles)",MXAA544010***,Automatic,G,4WD,14.3 m3,Petrol,Other,Auction Grade,CFJ2621812,"US$ 17,991",5,-,5,Other,MXAA54
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-69e40e50bacb66531dd0a8c0,1500 cc(1.50 liters),2022 / Dec,"10,800 km(Approx. 6,712 miles)",WBA62BX0407L50***,Automatic,２１８ｉアクティブツアラーエクスクルシブハイラインＰ,2WD,12.57 m3,Petrol,Other,Auction Grade,CFJ2675339,"US$ 20,347",5,-,5,Right,62BX15
https://carfromjapan.com/cheap-used-toyota-rav4-2022-for-sale-69a4ca3fed81a3dc24939f42,2000 cc(2.00 liters),2022 / Nov,"23,500 km(Approx. 14,605 miles)",MXAA544034***,Automatic,Ｇ,4WD,13.26 m3,Petrol,Pearl,Auction Grade,CFJ2420941,"US$ 25,844",5,-,5,Right,DBA-ACA31W
https://carfromjapan.com/cheap-used-subaru-forester-2020-for-sale-6a07a870032fc84b553f4208,1800 cc(1.80 liters),2020 / Dec,"22,700 km(Approx. 14,108 miles)",SK5004***,Automatic,スポーツ,4WD,17 m3,Petrol,Silver,Auction Grade,CFJ2795059,"US$ 15,664",5,-,5,Right,SK5
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-69ab5e32946b9a2874e593e7,1800 cc(1.80 liters),2025 / Nov,"3,100 km(Approx. 1,927 miles)",SL5007***,Automatic,スポーツ　ブラックセレクション,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2446835,"US$ 30,477",5,-,5,Right,SL5
https://carfromjapan.com/cheap-used-mazda-cx-30-2019-for-sale-69fafeecc15b58c11879a283,1800 cc(1.80 liters),2019 / Dec,"28,800 km(Approx. 17,899 miles)",DM80-103***,Automatic,XD PROACTIVE TOURING SELECTION,4WD,12.15 m3,Diesel,Red,Auction Grade,CFJ2760988,"US$ 12,400",5,-,5,Right,3DA-DM8P
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-69c5bb7283b1977ce876ca77,2500 cc(2.50 liters),2019 / Oct,"44,800 km(Approx. 27,843 miles)",SK9029***,Automatic,プレミアム,4WD,17 m3,Petrol,Black,Auction Grade,CFJ2549269,"US$ 14,765",5,-,5,Right,SK9
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-68b0bbb86e1d8982c9d99063,1800 cc(1.80 liters),2025 / Jun,"10,000 km(Approx. 6,215 miles)",SL5-002***,Automatic,スポーツEX★11.6インチナビ★マルチ,4WD,14.72 m3,Petrol,Black,Auction Grade,CFJ1597560,"US$ 32,119",5,-,5,-,3BA-SL5
