url,engine_capacity,registration_year,mileage,vin_/_chassis_no.,transmission,model_grade,drive_type,dimension,fuel_type,exterior_color,*full_vin/chassis_no._will_be_shown_on_invoice,reference_no.,price,no._of_doors,manufacture_year,no._of_seats,steering,model_code,car_age,FOB (KES),Shipping (KES),Insurance (KES),CIF (KES),Import Duty (KES),Excise Duty (KES),IDF (KES),RDL (KES),VAT (KES),Port Charges (KES),Clearing Fees (KES),Registration (KES),TOTAL COST (KES)
https://carfromjapan.com/cheap-used-daihatsu-hijet-truck-2021-for-sale-68a7c82cc49cc5ebcf1a4eae,660,2021,56000.0,S510P0401***,Automatic,-,-,10 m3,Petrol,-,Auction Grade,CFJ1568485,6854,-,-,2,Other,3BD-S510P,5,887593.0,130000,13313.89,1030906.9,360817.41,206181.38,36081.74,20618.14,255664.91,50000,22500,10000,1992770.48
https://carfromjapan.com/cheap-used-mercedes-benz-amg-2021-for-sale-6984348ec15b58c118ba33df,4000,2021,10000.0,W1N4632761X388***,Automatic,G63 Manufaktur pkg,4WD,19.11 m3,Petrol,White,Auction Grade,CFJ2303128,123747,4,-,5,Left,3BA-463276,5,16025236.5,130000,240378.55,16395615.05,5738465.27,5738465.27,573846.53,327912.3,4459607.29,50000,22500,10000,33316411.7
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a0505694aa46852b18e8141,2000,2019,14700.0,MXAA524002***,Automatic,Ｘ,-,17 m3,Petrol,Other,Auction Grade,CFJ2783652,18148,5,-,5,Right,MXAA52,7,2350166.0,130000,35252.49,2515418.49,880396.47,628854.62,88039.65,50308.37,643947.13,50000,22500,10000,4889464.73
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69d905a20d2462329b4839c4,2000,2019,21900.0,MXAA542013***,Automatic,-,4WD,14.3 m3,Petrol,Black,Auction Grade,CFJ2631963,14428,5,-,5,Right,6BA-MXAA54,7,1868426.0,130000,28026.39,2026452.39,709258.34,506613.1,70925.83,40529.05,518771.81,50000,22500,10000,3955050.52
https://carfromjapan.com/cheap-used-toyota-alphard-2025-for-sale-6a06b195c15b58c118022102,2500,2025,13000.0,AGH40-0033***,Automatic,Z,2WD,17.82 m3,Petrol,Pearl,Auction Grade,CFJ2790012,37505,5,-,7,Right,3BA-AGH40W,1,4856897.5,130000,72853.46,5059750.96,1770912.84,1517925.29,177091.28,101195.02,1335774.25,50000,22500,10000,10045149.65
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-699327ce3a4a6f6b0377e368,2500,2019,37300.0,AXAH544013***,Automatic,-,4WD,14.3 m3,Petrol,Black,Auction Grade,CFJ2355898,16784,5,-,5,Right,6AA-AXAH54,7,2173528.0,130000,32602.92,2336130.92,817645.82,700839.28,81764.58,46722.62,616738.56,50000,22500,10000,4682341.78
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-69e48aa8c15b58c118725c97,2000,2019,76000.0,TRH200-5041***,Automatic,DX GL package,2WD,21 m3,Petrol,White,Auction Grade,CFJ2677062,9488,5,-,3,Right,CBF-TRH200V,7,1228696.0,130000,18430.44,1377126.44,481994.25,344281.61,48199.43,27542.53,352544.37,50000,22500,10000,2714188.63
https://carfromjapan.com/cheap-used-daihatsu-hijet-truck-2024-for-sale-692a31d907500f365b23d1b0,660,2024,13000.0,S510P-0571***,Automatic,スタンダード　農用スペシャル,4WD,8.87 m3,Petrol,Other,Auction Grade,CFJ2019345,7225,2,-,2,Right,S510P,2,935637.5,130000,14034.56,1079672.06,377885.22,215934.41,37788.52,21593.44,267758.67,50000,22500,10000,2083132.33
https://carfromjapan.com/cheap-used-toyota-alphard-2025-for-sale-69f58db2c15b58c118bda9d1,2500,2025,50.0,AGH40-4028***,Automatic,Z,2WD,17.82 m3,Petrol,Black,Auction Grade,CFJ2746510,40614,5,-,7,Right,3BA-AGH40W,1,5259513.0,130000,78892.69,5468405.7,1913941.99,1640521.71,191394.2,109368.11,1443659.1,50000,22500,10000,10849790.81
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a068a69a329faa74f09d718,2000,2019,15000.0,MXAA52-4002***,Automatic,X,2WD,17 m3,Petrol,Pearl,Auction Grade,CFJ2789155,18148,5,-,5,-,6BA-MXAA52,7,2350166.0,130000,35252.49,2515418.49,880396.47,628854.62,88039.65,50308.37,643947.13,50000,22500,10000,4889464.73
